A,,B,AL,AN,AA,AB,AC,AD,AE,AF,AG,AH,Q,F,C,D,K,L,S,T,U,V,W,Z,AI,AJ,AK,,,
Provider,Provider link,Offer,Offer link,Short name,Minute price,Hour price,Week price,Month price,Year price,Month Limit,Setup price,Currency,CPU performance (Tflops SP),GPU performance (TFlops SP),GPU model,GPUs,CPU model,CPUs,Memory (GB),HDD prim.Type,HDD prim.GB,HDD sec.Type,HDD sec.GB,Network,Max hours,Continuous,Notes,,,
,,4-GPU x86 P100,http://www.cirrascale.com/pricing_x86BM.php,CR P100x4 x86,,,1199,3999,,,,USD,0.704,37.36,P100,4,Xeon E5-2630 v4,1,128,SSD,1000,SATA,4000,10/,,,,58,,
,,4-GPU x86 V100,http://www.cirrascale.com/pricing_x86BM.php,CR V100x4 x86,,,2249,7499,,,,USD,1.408,56.112,V100,4,Xeon E5-2630 v4,2,128,SSD,1000,SATA,4000,10/,,,,59,,
,,4-GPU x86 P40,http://www.cirrascale.com/pricing_x86BM.php,CR P40x4 x86,,,1199,3999,,,,USD,1.408,47.032,P40,4,Xeon E5-2630 v4,2,128,SSD,1000,SATA,4000,10/,,,,60,,
,,8-GPU x86 Quadro P6000,http://www.cirrascale.com/pricing_x86BM.php,CR P6000x8 x86,,,2059,6429,,,,USD,1.408,87.056,Quadro P6000,8,Xeon E5-2630 v4,2,256,SSD,1000,SATA,4000,10/,,,,61,,
,,8-GPU x86 P100,http://www.cirrascale.com/pricing_x86BM.php,CR P100x8 x86,,,2369,7899,,,,USD,1.408,74.72,P100,8,Xeon E5-2630 v4,2,256,SSD,1000,SATA,4000,10/,,,,62,,
,,8-GPU x86 P40,http://www.cirrascale.com/pricing_x86BM.php,CR P40x8 x86,,,2369,7899,,,,USD,1.408,94.064,P40,8,Xeon E5-2630 v4,2,256,SSD,1000,SATA,4000,10/,,,,63,,
,,8-GPU x86 V100,http://www.cirrascale.com/pricing_x86BM.php,CR V100x8 x86,,,3899,12999,,,,USD,1.408,112.224,V100,8,Xeon E5-2630 v4,2,256,SSD,1000,SATA,4000,10/,,,,64,,
,,8-GPU AMD V100,http://www.cirrascale.com/pricing_x86BM.php,CR V100x8 AMD,,,3899,12999,,,,USD,1.536,112.224,V100,8,AMD EPYC 7401P,1,256,SSD,1000,SATA,4000,10/,,,,65,,
,,16-GPU x86 K80 ltd.,http://www.cirrascale.com/pricing_x86BM.php,CR K80x8 x86,,,1499,4999,,,,USD,1.6384,69.92,K80,8,Xeon E5-2667 v3,2,512,SSD,1000,SATA,4000,/,,,Limited quantity available at this price,66,,
,,4-GPU V100 POWER9,http://www.cirrascale.com/pricing_x86BM.php,CRV100x4 P9,,,2799,9329,,,,USD,,59.596,V100,4,POWER9,2,256,SSD,1600,SSD,2000,,,,,67,,
,,2-GPU V100 POWER9,http://www.cirrascale.com/pricing_x86BM.php,CR V1000x2 P9,,,1739,5799,,,,USD,,29.798,V100,2,POWER9,2,128,SSD,1000,,,/,,,,68,,
,,4-GPU P100 POWER8-10 ,http://www.cirrascale.com/pricing_x86BM.php,CR P100x4 P8-10,,,1649,5499,,,,USD,1.04,42.4,P100,4,POWER8,2,256,SSD,1000,SATA,1000,/,,,,69,,
,,2-GPU P100 POWER8-10 ,http://www.cirrascale.com/pricing_x86BM.php,CR P100x2 P8-10,,,989,3299,,,,USD,1.04,21.2,P100,2,POWER8,2,128,SSD,960,,,/,,,,70,,
Sakura,https://www.sakura.ad.jp/koukaryoku/specification/,Tesla P40 model ,,SK P40x1 ,,349,,,,,,JPY,0.768,11.758,P40,1,Xeon E5-2623 v3,2,128,SSD,480,SSD,480,10/0.1,,,,76,,
,,Tesla P100 model ,,SK P100x1 ,,357,,,,,,JPY,0.768,9.5,P100,1,Xeon E5-2623 v3,2,128,SSD,480,SSD,480,10/0.1,,,,77,,
,,Tesla V100 model,,SK V100x1,,,,115000,,,924000,JPY,0.768,14.028,V100,1,Xeon E5-2623 v3,2,128,SSD,480,SSD,480,10/0.1,,,,78,,
,,Tesla P40 model,,SK P40x1,,,,97000,,,875000,JPY,0.768,11.758,P40,1,Xeon E5-2623 v3,2,128,SSD,480,SSD,480,10/0.1,,,,79,,
,,Tesla P100 model,,SK P100x1,,,,99000,,,895000,JPY,0.768,9.34,P100,1,Xeon E5-2623 v3,2,128,SSD,480,SSD,480,10/0.1,,,,80,,
LeaderTelecom,https://www.leadergpu.com,2 x V100,,LT V100x2,0.08,,463.27,1853.08,,,,EUR,1.408,28.056,V100,2,Xeon E5-2630 v4,2,128,SSD,960,,,40/1,,,"Included Internet traffic for monthly based payments: 10 Tb/month; weekly based payments: 2.5 Tb/week; minute/hourly based payments: 0 Gb. Additional 1Gb (not included): 0,09 &euro;/Gb.",87,,
,,2 x GTX 1080 Ti,,LT GTX1080Tix2,0.02,,109.33,437.34,,,,EUR,0.4352,21.218,GTX 1080 Ti,2,Xeon E5-2609 v4,1,32,SSD,480,,,1/1,,,"Included Internet traffic for monthly based payments: 10 Tb/month; weekly based payments: 2.5 Tb/week; minute/hourly based payments: 0 Gb. Additional 1Gb (not included): 0,09 &euro;/Gb.",88,,
,,4 x GTX 1080 Ti ltd.,,LT GTX1080Tix4 ltd.,0.04,,288,1018.38,,,,EUR,0.8704,42.436,GTX 1080 Ti,4,Xeon E5-2609 v4,2,64,SSD,480,,,40/1,,,"Included Internet traffic for monthly based payments: 10 Tb/month; weekly based payments: 2.5 Tb/week; minute/hourly based payments: 0 Gb. Additional 1Gb (not included): 0,09 &euro;/Gb. Special price till the end of ..",89,,
,,2 x GeForce GTX 1080,,LT GTX1080x2,0.02,,91.11,364.45,,,,EUR,0.4736,16.456,GeForce GTX 1080,2,Xeon E5-1630 v4,1,32,SSD,480,,,1/1,,,"Included Internet traffic for monthly based payments: 10 Tb/month; weekly based payments: 2.5 Tb/week; minute/hourly based payments: 0 Gb. Additional 1Gb (not included): 0,09 &euro;/Gb.",90,,
